player_id,name,team_id,team_name,total_match,innings,total_runs,highest_run,average,not_out,strike_rate,ball_faced,batting_hand,4s,6s,50s,100s
39559822,Irttaza Hussain,9726448,Macchike Mustangs,7,6,469,132,469.00,5,397.46,118,RHB,5,67,2,2
16435832,Mazhar Iqbal,9726471,Keamari Kings,7,7,284,102,94.67,4,273.08,104,RHB,9,34,0,2
44504593,Agha Hamza,9726462,Bubak Blasters,7,7,273,60,45.50,1,214.96,127,RHB,9,29,3,0
38956015,Abeer Kazmi,9726479,Port Qasim Panthers,6,6,229,96,45.80,1,238.54,96,RHB,17,21,2,0
39586115,Junaid Iqbal,9726471,Keamari Kings,7,7,222,82,55.50,3,228.87,97,RHB,9,23,2,0
39559828,Umer Farooq,9726448,Macchike Mustangs,7,6,213,70,71.00,3,247.67,86,RHB,14,20,2,0
39606524,Kamran Abdali,9726462,Bubak Blasters,7,7,206,67,41.20,2,196.19,105,RHB,14,14,1,0
39405097,Syed Musa Raza Zaidi,9726488,Kot Bahadur Shah Bulls,6,6,205,104,51.25,2,227.78,90,RHB,7,23,0,1
46441658,M Owais,9726448,Macchike Mustangs,7,5,199,60,66.33,2,234.12,85,RHB,10,19,2,0
40212612,M Kaleem Ullah,9726479,Port Qasim Panthers,6,6,190,65,63.33,3,223.53,85,RHB,3,22,1,0
36472174,Fakhir Sohail,9726435,Mahmoodkot Mavericks,5,5,163,48,54.33,2,208.97,78,RHB,8,15,0,0
39606001,Danish Ahmed,9726435,Mahmoodkot Mavericks,5,5,162,80,40.50,1,311.54,52,RHB,7,20,2,0
18635594,Idrers,9726488,Kot Bahadur Shah Bulls,6,6,159,51,39.75,2,176.67,90,RHB,9,14,1,0
46285106,Muneeb Ul Hassan,9726479,Port Qasim Panthers,6,6,151,79,30.20,1,222.06,68,RHB,4,18,1,0
39404848,Umar Nisar,9726452,Shikarpur Stallions,2,2,147,95,147.00,1,306.25,48,LHB,2,20,2,0
36506476,Shabbir Iqbal,9726471,Keamari Kings,6,6,138,53,27.60,1,202.94,68,RHB,9,12,2,0
39606210,Asad Mughni,9726462,Bubak Blasters,6,6,120,41,30.00,2,230.77,52,RHB,3,13,0,0
39446452,M Usman,9726458,Fazilpur Falcons,5,4,117,88,117.00,3,285.37,41,RHB,3,14,1,0
36849912,Munawar Ali,9726458,Fazilpur Falcons,6,4,115,50,57.50,2,171.64,67,RHB,10,8,1,0
40631414,Muhammad Areeb,9726458,Fazilpur Falcons,6,4,103,54,34.33,1,257.50,40,RHB,9,8,1,0
39607262,Zubair Zab,9726452,Shikarpur Stallions,6,6,102,34,25.50,2,170.00,60,RHB,4,8,0,0
46284757,Zeeshan Tahir,9726462,Bubak Blasters,6,6,100,38,25.00,2,196.08,51,RHB,8,7,0,0
39406037,Waseem Ullah Khan,9726488,Kot Bahadur Shah Bulls,6,5,99,27,19.80,0,253.85,39,RHB,4,11,0,0
10643363,Arman Bari,9726435,Mahmoodkot Mavericks,5,5,95,26,23.75,1,193.88,49,LHB,6,8,0,0
39446447,Umer,9726452,Shikarpur Stallions,5,5,90,46,22.50,1,225.00,40,RHB,5,8,0,0
39405902,Shabbir Sultan,9726488,Kot Bahadur Shah Bulls,6,6,87,34,14.50,0,133.85,65,RHB,7,5,0,0
18494553,Muhammad Hammad,9726448,Macchike Mustangs,7,4,85,33,28.33,1,236.11,36,RHB,6,8,0,0
39559847,M Aamir Khan,9726448,Macchike Mustangs,7,5,85,50,21.25,1,236.11,36,RHB,9,4,1,0
39575879,Humays Khan,9726471,Keamari Kings,6,6,81,34,16.20,1,207.69,39,RHB,7,8,0,0
39405098,Irfan Shaikh,9726458,Fazilpur Falcons,6,5,77,27,25.67,2,179.07,43,RHB,7,3,0,0
32487566,Mehmood Shah,9726435,Mahmoodkot Mavericks,4,3,75,43,75.00,2,166.67,45,RHB,6,4,0,0
46613703,M Aurangzeb Muzammil Khan,9726452,Shikarpur Stallions,6,6,73,28,14.60,1,130.36,56,RHB,2,6,0,0
19741699,Tabish,9726458,Fazilpur Falcons,5,3,68,59,22.67,0,242.86,28,RHB,2,8,1,0
24488628,Mehab,9726471,Keamari Kings,6,4,64,21,16.00,0,188.24,34,RHB,4,5,0,0
21802280,Asif Hamid,9726479,Port Qasim Panthers,4,4,59,43,19.67,1,203.45,29,RHB,2,7,0,0
39446449,Asad Ahmed,9726452,Shikarpur Stallions,5,5,58,36,11.60,0,181.25,32,RHB,3,5,0,0
46284959,Sabir Hussain,9726452,Shikarpur Stallions,6,4,53,18,26.50,2,110.42,48,RHB,4,0,0,0
39606522,Sheikh Khalid Zahid,9726462,Bubak Blasters,7,6,53,36,13.25,2,182.76,29,RHB,5,3,0,0
46285375,Akram Alizai,9726458,Fazilpur Falcons,6,3,47,27,47.00,2,204.35,23,RHB,2,3,0,0
46285109,Munir Jawaid,9726479,Port Qasim Panthers,5,4,41,19,20.50,2,124.24,33,RHB,4,2,0,0
22922987,Waqas,9726458,Fazilpur Falcons,6,2,40,33,40.00,1,190.48,21,RHB,0,4,0,0
39606217,M Huzaif,9726479,Port Qasim Panthers,6,4,39,22,19.50,2,114.71,34,RHB,0,5,0,0
46285999,Irteza Ali Qureshi,9726435,Mahmoodkot Mavericks,2,2,26,15,13.00,0,108.33,24,RHB,3,0,0,0
46286005,Syed Saaduddin Adil,9726435,Mahmoodkot Mavericks,3,2,26,21,26.00,1,136.84,19,RHB,1,2,0,0
39406041,Fazil Hussain,9726488,Kot Bahadur Shah Bulls,6,3,23,17,11.50,1,95.83,24,RHB,2,0,0,0
46284962,Muhammad Riaz Ahmed,9726452,Shikarpur Stallions,4,2,22,14,11.00,0,104.76,21,RHB,1,0,0,0
46285110,Rahul Kumar,9726479,Port Qasim Panthers,6,3,21,19,10.50,1,116.67,18,RHB,0,1,0,0
46285587,Syed Aun Burhan Ali,9726471,Keamari Kings,7,2,20,12,10.00,0,142.86,14,RHB,2,1,0,0
24488629,Adnan,9726448,Macchike Mustangs,7,3,20,10,10.00,1,166.67,12,RHB,4,0,0,0
40131221,Rayed Abdullah,9726471,Keamari Kings,6,2,17,16,-,2,154.55,11,RHB,1,1,0,0
39406191,Umair Ahmed,9726488,Kot Bahadur Shah Bulls,5,3,17,10,5.67,0,121.43,14,RHB,0,1,0,0
18635218,Khalil Bugti,9726448,Macchike Mustangs,4,1,14,14,-,1,127.27,11,RHB,1,0,0,0
46285588,Muhammad Moiz Khan,9726471,Keamari Kings,4,2,14,10,14.00,1,116.67,12,RHB,1,0,0,0
39446451,Ahsan,9726452,Shikarpur Stallions,4,1,12,12,-,1,100.00,12,RHB,1,0,0,0
39406039,Muzammil Kholia,9726435,Mahmoodkot Mavericks,5,1,12,12,12.00,0,200.00,6,RHB,0,1,0,0
39405381,M Suleman Khan,9726462,Bubak Blasters,7,3,12,11,6.00,1,109.09,11,RHB,1,0,0,0
39606527,M Masood Tahir,9726462,Bubak Blasters,7,4,11,7,11.00,3,110.00,10,RHB,0,1,0,0
39406198,Waqas Ahmed,9726448,Macchike Mustangs,6,2,10,10,10.00,1,142.86,7,RHB,2,0,0,0
39446547,Jawwad Shafiq,9726471,Keamari Kings,4,1,9,9,9.00,0,100.00,9,RHB,0,1,0,0
46441477,Zohaib Yaqoob,9726435,Mahmoodkot Mavericks,4,1,9,9,-,1,225.00,4,RHB,0,1,0,0
46284961,Muhammad Shoaib,9726452,Shikarpur Stallions,4,2,9,9,9.00,1,50.00,18,RHB,0,0,0,0
46284964,Muhammad Maroof Hussain,9726452,Shikarpur Stallions,2,1,8,8,8.00,0,100.00,8,RHB,0,1,0,0
46284763,Muhammad Ahsan Marfani,9726462,Bubak Blasters,3,1,8,8,-,1,88.89,9,RHB,0,0,0,0
46284958,Rana Ahmed Ashraf,9726452,Shikarpur Stallions,2,2,7,6,3.50,0,100.00,7,RHB,1,0,0,0
39559873,Ghavir Imran,9726458,Fazilpur Falcons,6,4,7,6,7.00,3,116.67,6,RHB,1,0,0,0
39405270,Syed Ather Waqar,9726435,Mahmoodkot Mavericks,4,2,6,5,6.00,1,150.00,4,RHB,1,0,0,0
46286129,Hassan Ahmed Security,9726448,Macchike Mustangs,6,2,6,6,3.00,0,85.71,7,RHB,1,0,0,0
46284965,Umair Abdul Moqeet,9726452,Shikarpur Stallions,3,1,5,5,-,1,125.00,4,RHB,0,0,0,0
35966576,Saeed Iqbal,9726488,Kot Bahadur Shah Bulls,6,2,5,5,5.00,1,62.50,8,RHB,0,0,0,0
46433130,Hafiz Mohsin Zahid,9726471,Keamari Kings,7,1,4,4,4.00,0,36.36,11,RHB,0,0,0,0
39614469,Hameed Khan,9726488,Kot Bahadur Shah Bulls,3,2,4,2,-,2,66.67,6,RHB,0,0,0,0
46286127,Abid Ali Askari,9726448,Macchike Mustangs,1,1,3,3,3.00,0,60.00,5,RHB,0,0,0,0
18635937,Habib Ullah,9726488,Kot Bahadur Shah Bulls,6,1,3,3,3.00,0,75.00,4,RHB,0,0,0,0
39406194,Shoaib Rizvi,9726488,Kot Bahadur Shah Bulls,6,3,3,2,-,3,75.00,4,RHB,0,0,0,0
46285760,Muhammad Bilal Habib,9726488,Kot Bahadur Shah Bulls,1,1,2,2,2.00,0,66.67,3,RHB,0,0,0,0
36508493,Ali Saleem Kolsawala,9726479,Port Qasim Panthers,3,1,2,2,-,1,100.00,2,RHB,0,0,0,0
39446448,Ahmed Jung,9726479,Port Qasim Panthers,5,1,2,2,-,1,66.67,3,RHB,0,0,0,0
38331072,Naeem Ahmad,9726462,Bubak Blasters,7,1,2,2,2.00,0,100.00,2,RHB,0,0,0,0
46285590,Syed Ammar Hassan,9726471,Keamari Kings,1,1,1,1,1.00,0,50.00,2,RHB,0,0,0,0
39606351,Saad Mansoor,9726479,Port Qasim Panthers,1,1,1,1,1.00,0,20.00,5,RHB,0,0,0,0
39406192,Yahya Shahid,9726435,Mahmoodkot Mavericks,1,1,1,1,-,1,100.00,1,RHB,0,0,0,0
46285764,Danish Khan Sherwani,9726488,Kot Bahadur Shah Bulls,1,1,1,1,-,1,50.00,2,RHB,0,0,0,0
46284963,Hassaan Bin Sultan,9726452,Shikarpur Stallions,2,1,1,1,-,1,100.00,1,RHB,0,0,0,0
39606012,Haroon Qazi,9726435,Mahmoodkot Mavericks,3,1,1,1,-,1,100.00,1,RHB,0,0,0,0
46286130,Muhammad Sajid,9726448,Macchike Mustangs,4,1,1,1,1.00,0,25.00,4,RHB,0,0,0,0
46657089,M Nasir Nawaz,9726479,Port Qasim Panthers,5,1,1,1,-,1,100.00,1,RHB,0,0,0,0
46286131,Shahzaman,9726448,Macchike Mustangs,7,1,1,1,1.00,0,50.00,2,RHB,0,0,0,0
39446546,Sheraz,9726471,Keamari Kings,4,2,1,1,-,2,50.00,2,RHB,0,0,0,0
24488632,Janzaib,9726435,Mahmoodkot Mavericks,1,1,0,0,-,1,0,0,RHB,0,0,0,0
39405382,Majid Faraz,9726452,Shikarpur Stallions,2,1,0,0,-,0,0.00,2,RHB,0,0,0,0
46284957,Ali Tariq,9726452,Shikarpur Stallions,2,1,0,0,-,0,0.00,2,RHB,0,0,0,0
46284765,Muhammad Qasim,9726462,Bubak Blasters,3,1,0,0,-,0,0.00,1,RHB,0,0,0,0
39406043,M Ibraheem Shaikh,9726452,Shikarpur Stallions,4,1,0,0,-,1,0.00,2,RHB,0,0,0,0
46285108,Syed Usman Ali,9726479,Port Qasim Panthers,5,1,0,0,-,0,0,0,RHB,0,0,0,0
39559874,M Anwar,9726458,Fazilpur Falcons,6,1,0,0,-,1,0.00,1,RHB,0,0,0,0
36779682,Talha Altaf,9726452,Shikarpur Stallions,5,2,0,0,-,1,0.00,4,RHB,0,0,0,0
46284960,Muhammad Monis Anees,9726452,Shikarpur Stallions,5,2,0,0,-,1,0.00,2,RHB,0,0,0,0
46285762,Muhammad Furqan,9726488,Kot Bahadur Shah Bulls,6,2,0,0,-,0,0.00,3,RHB,0,0,0,0
24488635,Shakil,9726488,Kot Bahadur Shah Bulls,1,0,0,0,-,0,0,0,LHB,0,0,0,0
39405383,Syed Hammad Ahmed,9726488,Kot Bahadur Shah Bulls,1,0,0,0,-,0,0,0,-,0,0,0,0
39446548,Farrukh Anwar,9726479,Port Qasim Panthers,1,0,0,0,-,0,0,0,-,0,0,0,0
39606516,Faisal Amir,9726462,Bubak Blasters,1,0,0,0,-,0,0,0,-,0,0,0,0
40436118,Muhammad Usman Liaquat,9726458,Fazilpur Falcons,1,0,0,0,-,0,0,0,-,0,0,0,0
44469557,Ali Mehenti,9726471,Keamari Kings,1,0,0,0,-,0,0,0,-,0,0,0,0
46284759,Muhammad Imran Khan,9726462,Bubak Blasters,1,0,0,0,-,0,0,0,-,0,0,0,0
46285107,Fahim Wahid Motiwala,9726479,Port Qasim Panthers,1,0,0,0,-,0,0,0,-,0,0,0,0
46285377,Muhammad Izaan Khan,9726458,Fazilpur Falcons,1,0,0,0,-,0,0,0,-,0,0,0,0
46285384,Shahzad Ur Rehman,9726458,Fazilpur Falcons,1,0,0,0,-,0,0,0,-,0,0,0,0
46285759,Hamid Nasir,9726488,Kot Bahadur Shah Bulls,1,0,0,0,-,0,0,0,-,0,0,0,0
46285767,Muhammad Bilal,9726488,Kot Bahadur Shah Bulls,1,0,0,0,-,0,0,0,-,0,0,0,0
46286000,Fraz Asif,9726435,Mahmoodkot Mavericks,1,0,0,0,-,0,0,0,-,0,0,0,0
46286006,Shahmir,9726435,Mahmoodkot Mavericks,1,0,0,0,-,0,0,0,-,0,0,0,0
36440987,Muhammad Hassan,9726458,Fazilpur Falcons,2,0,0,0,-,0,0,0,-,0,0,0,0
39405272,Syed Saad Naseem,9726448,Macchike Mustangs,2,0,0,0,-,0,0,0,-,0,0,0,0
46284762,Muhammad Yousuf,9726462,Bubak Blasters,2,0,0,0,-,0,0,0,-,0,0,0,0
46284764,Abdemunaf Kalimee,9726462,Bubak Blasters,2,0,0,0,-,0,0,0,-,0,0,0,0
46284956,Muhammad Kashif Khan,9726452,Shikarpur Stallions,2,0,0,0,-,0,0,0,-,0,0,0,0
46285111,Muhammad Sohaib Asghar,9726479,Port Qasim Panthers,2,0,0,0,-,0,0,0,-,0,0,0,0
46285379,Tahir Mahmood,9726458,Fazilpur Falcons,2,0,0,0,-,0,0,0,-,0,0,0,0
46285381,Shah Muhammad,9726458,Fazilpur Falcons,2,0,0,0,-,0,0,0,-,0,0,0,0
