player_id,name,team_id,team_name,total_match,innings,total_wickets,balls,highest_wicket,economy,SR,maidens,avg,runs,bowling_style,overs,dot_balls
35966576,Saeed Iqbal,9726488,Kot Bahadur Shah Bulls,6,6,9,72,3,11.08,8.00,0,14.78,133,Right-arm fast,12.0,23
39559874,M Anwar,9726458,Fazilpur Falcons,6,6,9,72,3,12.00,8.00,0,16,144,Right-arm fast,12.0,26
46433130,Hafiz Mohsin Zahid,9726471,Keamari Kings,7,7,9,78,3,12.69,8.67,0,18.33,165,Right-arm medium,13.0,25
46441477,Zohaib Yaqoob,9726435,Mahmoodkot Mavericks,4,4,7,30,3,13.60,4.29,0,9.71,68,Right-arm medium,5.0,13
39406041,Fazil Hussain,9726488,Kot Bahadur Shah Bulls,6,6,7,72,2,13.75,10.29,0,23.57,165,Right-arm fast,12.0,27
38331072,Naeem Ahmad,9726462,Bubak Blasters,7,7,7,66,2,16.55,9.43,0,26,182,Right-arm medium,11.0,17
39405270,Syed Ather Waqar,9726435,Mahmoodkot Mavericks,4,4,5,36,2,12.17,7.20,0,14.6,73,Right-arm Off Break,6.0,12
16435832,Mazhar Iqbal,9726471,Keamari Kings,7,7,5,84,2,12.64,16.80,0,35.4,177,Right-arm fast,14.0,24
46285762,Muhammad Furqan,9726488,Kot Bahadur Shah Bulls,6,6,5,72,1,14.25,14.40,0,34.2,171,Right-arm medium,12.0,17
44504593,Agha Hamza,9726462,Bubak Blasters,7,6,4,66,2,7.36,16.50,0,20.25,81,Right-arm fast,11.0,38
46285375,Akram Alizai,9726458,Fazilpur Falcons,6,6,4,72,2,9.00,18.00,0,27,108,Right-arm medium,12.0,33
40631414,Muhammad Areeb,9726458,Fazilpur Falcons,6,6,4,60,1,11.00,15.00,1,27.5,110,Right-arm fast,10.0,31
39559873,Ghavir Imran,9726458,Fazilpur Falcons,6,6,4,72,1,11.58,18.00,0,34.75,139,Right-arm fast,12.0,23
39559828,Umer Farooq,9726448,Macchike Mustangs,7,5,4,60,2,12.20,15.00,0,30.5,122,Right-arm fast,10.0,22
46285378,Zafer Naveed,9726458,Fazilpur Falcons,5,5,4,42,1,12.57,10.50,0,22,88,Right-arm medium,7.0,15
46657089,M Nasir Nawaz,9726479,Port Qasim Panthers,5,5,4,50,2,12.96,12.50,0,27,108,Right-arm medium,8.2,16
39406194,Shoaib Rizvi,9726488,Kot Bahadur Shah Bulls,6,6,4,72,2,14.67,18.00,0,44,176,Right-arm fast,12.0,17
39406039,Muzammil Kholia,9726435,Mahmoodkot Mavericks,5,4,4,30,3,15.60,7.50,0,19.5,78,Right-arm fast,5.0,9
46286129,Hassan Ahmed Security,9726448,Macchike Mustangs,6,6,4,48,2,16.25,12.00,0,32.5,130,Right-arm medium,8.0,18
46286002,Shahbaz Amin,9726435,Mahmoodkot Mavericks,5,5,3,60,2,12.50,20.00,0,41.67,125,Right-arm medium,10.0,21
24488629,Adnan,9726448,Macchike Mustangs,7,4,3,30,2,12.60,10.00,0,21,63,Right-arm medium,5.0,8
46285587,Syed Aun Burhan Ali,9726471,Keamari Kings,7,5,3,54,2,12.89,18.00,0,38.67,116,Right-arm medium,9.0,21
46284760,Afnan Ainul Yaqin Shaikh,9726462,Bubak Blasters,6,6,3,48,2,13.62,16.00,0,36.33,109,Right-arm medium,8.0,9
40212612,M Kaleem Ullah,9726479,Port Qasim Panthers,6,3,3,36,1,13.83,12.00,0,27.67,83,Right-arm fast,6.0,10
46284959,Sabir Hussain,9726452,Shikarpur Stallions,6,5,3,52,2,15.35,17.33,0,44.33,133,Right-arm Off Break,8.4,14
36779682,Talha Altaf,9726452,Shikarpur Stallions,5,5,3,42,1,15.71,14.00,0,36.67,110,Right-arm fast,7.0,9
39606522,Sheikh Khalid Zahid,9726462,Bubak Blasters,7,7,3,66,2,16.09,22.00,0,59,177,Right-arm fast,11.0,13
39606355,Kafeel Ahmed,9726479,Port Qasim Panthers,4,4,3,42,2,16.71,14.00,0,39,117,Right-arm fast,7.0,13
46286131,Shahzaman,9726448,Macchike Mustangs,7,7,3,72,2,16.92,24.00,0,67.67,203,Right-arm medium,12.0,22
39606524,Kamran Abdali,9726462,Bubak Blasters,7,7,3,60,2,17.50,20.00,0,58.33,175,Right-arm fast,10.0,14
39606001,Danish Ahmed,9726435,Mahmoodkot Mavericks,5,5,2,60,2,9.90,30.00,0,49.5,99,Right-arm fast,10.0,27
39405272,Syed Saad Naseem,9726448,Macchike Mustangs,2,2,2,12,1,10.50,6.00,0,10.5,21,Right-arm Off Break,2.0,5
18494553,Muhammad Hammad,9726448,Macchike Mustangs,7,7,2,72,1,11.42,36.00,0,68.5,137,Right-arm fast,12.0,23
36849912,Munawar Ali,9726458,Fazilpur Falcons,6,5,2,32,2,12.19,16.00,0,32.5,65,Right-arm fast,5.2,12
39406037,Waseem Ullah Khan,9726488,Kot Bahadur Shah Bulls,6,6,2,66,1,15.36,33.00,0,84.5,169,Right-arm fast,11.0,16
24488628,Mehab,9726471,Keamari Kings,6,3,2,24,1,17.25,12.00,0,34.5,69,Right-arm fast,4.0,8
10643363,Arman Bari,9726435,Mahmoodkot Mavericks,5,2,2,18,2,17.67,9.00,0,26.5,53,Right-arm medium,3.0,3
36508493,Ali Saleem Kolsawala,9726479,Port Qasim Panthers,3,2,2,18,2,21.33,9.00,0,32,64,Right-arm medium,3.0,5
39406198,Waqas Ahmed,9726448,Macchike Mustangs,6,1,1,6,1,5.00,6.00,0,5,5,Right-arm medium,1.0,2
24488627,Ammar,9726462,Bubak Blasters,4,1,1,12,1,6.50,12.00,0,13,13,Right-arm medium,2.0,3
39406190,Umair Ahmed Siddiqui,9726448,Macchike Mustangs,4,1,1,12,1,8.50,12.00,0,17,17,Right-arm fast,2.0,2
38956015,Abeer Kazmi,9726479,Port Qasim Panthers,6,2,1,24,1,14.50,24.00,0,58,58,Right-arm medium,4.0,5
39871645,Naeem Hussain,9726448,Macchike Mustangs,4,4,1,36,1,14.50,36.00,0,87,87,Right-arm medium,6.0,12
39446448,Ahmed Jung,9726479,Port Qasim Panthers,5,5,1,60,1,14.70,60.00,0,147,147,Right-arm medium,10.0,18
21802275,Asgher,9726435,Mahmoodkot Mavericks,5,5,1,36,1,14.83,36.00,0,89,89,Right-arm medium,6.0,11
39446447,Umer,9726452,Shikarpur Stallions,5,5,1,31,1,14.90,31.00,0,77,77,Right-arm medium,5.1,8
46285591,Aftab Ahmed Khan,9726471,Keamari Kings,3,2,1,12,1,15.00,12.00,0,30,30,Left-arm medium,2.0,2
18635671,Ali Hashmi,9726479,Port Qasim Panthers,5,3,1,30,1,16.20,30.00,0,81,81,Right-arm fast,5.0,7
39586115,Junaid Iqbal,9726471,Keamari Kings,7,4,1,28,1,16.29,28.00,0,76,76,Right-arm medium,4.4,6
36970209,Muhammad Khursheed,9726471,Keamari Kings,7,3,1,24,1,17.00,24.00,0,68,68,Right-arm fast,4.0,7
39606527,M Masood Tahir,9726462,Bubak Blasters,7,5,1,36,1,17.17,36.00,0,103,103,Right-arm Off Break,6.0,16
39446451,Ahsan,9726452,Shikarpur Stallions,4,4,1,36,1,17.33,36.00,0,104,104,Right-arm fast,6.0,9
18635218,Khalil Bugti,9726448,Macchike Mustangs,4,4,1,24,1,18.25,24.00,0,73,73,Right-arm Off Break,4.0,4
39559822,Irttaza Hussain,9726448,Macchike Mustangs,7,3,1,23,1,19.04,23.00,0,73,73,Right-arm fast,3.5,5
39607262,Zubair Zab,9726452,Shikarpur Stallions,6,6,1,48,1,21.38,48.00,0,171,171,Right-arm medium,8.0,5
39405381,M Suleman Khan,9726462,Bubak Blasters,7,1,0,6,0,8.00,0.00,0,0,8,Right-arm fast,1.0,1
46285588,Muhammad Moiz Khan,9726471,Keamari Kings,4,1,0,6,0,9.00,0.00,0,0,9,Right-arm medium,1.0,1
39404848,Umar Nisar,9726452,Shikarpur Stallions,2,1,0,12,0,10.50,0.00,0,0,21,Right-arm fast,2.0,3
39446449,Asad Ahmed,9726452,Shikarpur Stallions,5,3,0,9,0,10.67,0.00,0,0,16,Right-arm medium,1.3,2
46286130,Muhammad Sajid,9726448,Macchike Mustangs,4,1,0,6,0,12.00,0.00,0,0,12,Right-arm medium,1.0,0
46286132,Aamir Qarnain,9726448,Macchike Mustangs,5,2,0,18,0,12.67,0.00,0,0,38,Right-arm medium,3.0,5
46284763,Muhammad Ahsan Marfani,9726462,Bubak Blasters,3,2,0,12,0,13.00,0.00,0,0,26,Right-arm fast,2.0,4
36919677,Rashid Jahanger,9726462,Bubak Blasters,4,1,0,8,0,14.25,0.00,0,0,19,Right-arm fast,1.2,2
40131221,Rayed Abdullah,9726471,Keamari Kings,6,5,0,54,0,15.11,0.00,0,0,136,Right-arm medium,9.0,19
39606217,M Huzaif,9726479,Port Qasim Panthers,6,5,0,48,0,15.38,0.00,0,0,123,Right-arm fast,8.0,14
19741699,Tabish,9726458,Fazilpur Falcons,5,2,0,6,0,16.00,0.00,0,0,16,Right-arm fast,1.0,1
39606009,Ahmad Rafe Noman Lodhi,9726435,Mahmoodkot Mavericks,3,3,0,24,0,17.00,0.00,0,0,68,Right-arm fast,4.0,5
46285589,Arif Hamid,9726471,Keamari Kings,6,1,0,6,0,17.00,0.00,0,0,17,Left-arm medium,1.0,2
39406043,M Ibraheem Shaikh,9726452,Shikarpur Stallions,4,2,0,11,0,18.00,0.00,0,0,33,Right-arm medium,1.5,1
39446548,Farrukh Anwar,9726479,Port Qasim Panthers,1,1,0,3,0,20.00,0.00,0,0,10,Right-arm fast,0.3,0
46284957,Ali Tariq,9726452,Shikarpur Stallions,2,1,0,6,0,20.00,0.00,0,0,20,Right-arm medium,1.0,2
46285108,Syed Usman Ali,9726479,Port Qasim Panthers,5,2,0,12,0,24.00,0.00,0,0,48,Right-arm fast,2.0,3
46284759,Muhammad Imran Khan,9726462,Bubak Blasters,1,1,0,6,0,27.00,0.00,0,0,27,Right-arm medium,1.0,0
39606012,Haroon Qazi,9726435,Mahmoodkot Mavericks,3,1,0,6,0,29.00,0.00,0,0,29,Right-arm fast,1.0,1
46285109,Munir Jawaid,9726479,Port Qasim Panthers,5,1,0,6,0,32.00,0.00,0,0,32,Right-arm fast,1.0,1
36506476,Shabbir Iqbal,9726471,Keamari Kings,6,1,0,6,0,34.00,0.00,0,0,34,Right-arm fast,1.0,0
46284960,Muhammad Monis Anees,9726452,Shikarpur Stallions,5,1,0,1,0,42.00,0.00,0,0,7,Left-arm fast,0.1,0
18635594,Idrers,9726488,Kot Bahadur Shah Bulls,6,0,,,,0.00,0.00,0,0,0,-,0.0,0
18635937,Habib Ullah,9726488,Kot Bahadur Shah Bulls,6,0,,,,0.00,0.00,0,0,0,-,0.0,0
21802280,Asif Hamid,9726479,Port Qasim Panthers,4,0,,,,0.00,0.00,0,0,0,Right-arm medium,0.0,0
22922987,Waqas,9726458,Fazilpur Falcons,6,0,,,,0.00,0.00,0,0,0,Right-arm Off Break,0.0,0
24488632,Janzaib,9726435,Mahmoodkot Mavericks,1,0,,,,0.00,0.00,0,0,0,-,0.0,0
24488635,Shakil,9726488,Kot Bahadur Shah Bulls,1,0,,,,0.00,0.00,0,0,0,-,0.0,0
32487566,Mehmood Shah,9726435,Mahmoodkot Mavericks,4,0,,,,0.00,0.00,0,0,0,Right-arm medium,0.0,0
36440987,Muhammad Hassan,9726458,Fazilpur Falcons,2,0,,,,0.00,0.00,0,0,0,-,0.0,0
36472174,Fakhir Sohail,9726435,Mahmoodkot Mavericks,5,0,,,,0.00,0.00,0,0,0,-,0.0,0
39405097,Syed Musa Raza Zaidi,9726488,Kot Bahadur Shah Bulls,6,0,,,,0.00,0.00,0,0,0,-,0.0,0
39405098,Irfan Shaikh,9726458,Fazilpur Falcons,6,0,,,,0.00,0.00,0,0,0,Right-arm fast,0.0,0
39405382,Majid Faraz,9726452,Shikarpur Stallions,2,0,,,,0.00,0.00,0,0,0,None,0.0,0
39405383,Syed Hammad Ahmed,9726488,Kot Bahadur Shah Bulls,1,0,,,,0.00,0.00,0,0,0,-,0.0,0
39405902,Shabbir Sultan,9726488,Kot Bahadur Shah Bulls,6,0,,,,0.00,0.00,0,0,0,Right-arm fast,0.0,0
39406191,Umair Ahmed,9726488,Kot Bahadur Shah Bulls,5,0,,,,0.00,0.00,0,0,0,-,0.0,0
39406192,Yahya Shahid,9726435,Mahmoodkot Mavericks,1,0,,,,0.00,0.00,0,0,0,-,0.0,0
39446452,M Usman,9726458,Fazilpur Falcons,5,0,,,,0.00,0.00,0,0,0,None,0.0,0
39446546,Sheraz,9726471,Keamari Kings,4,0,,,,0.00,0.00,0,0,0,-,0.0,0
39446547,Jawwad Shafiq,9726471,Keamari Kings,4,0,,,,0.00,0.00,0,0,0,-,0.0,0
39559847,M Aamir Khan,9726448,Macchike Mustangs,7,0,,,,0.00,0.00,0,0,0,Right-arm fast,0.0,0
39575879,Humays Khan,9726471,Keamari Kings,6,0,,,,0.00,0.00,0,0,0,-,0.0,0
39606210,Asad Mughni,9726462,Bubak Blasters,6,0,,,,0.00,0.00,0,0,0,Right-arm fast,0.0,0
