player_id,name,team_id,team_name,total_match,catches,caught_behind,run_outs,assist_run_outs,stumpings,caught_and_bowl,total_catches,total_dismissal
39606012,Haroon Qazi,9726435,Mahmoodkot Mavericks,9,1,0,0,0,0,0,1,1
39559831,M Asghar,9726448,Macchike Mustangs,10,0,0,1,1,0,0,0,1
39404794,Zafar Iqbal,9726471,Keamari Kings,1,0,0,0,0,0,0,0,0
39405383,Syed Hammad Ahmed,9726471,Keamari Kings,1,0,0,0,0,0,0,0,0
39406034,Abdul Qadir,9726488,Kot Bahadur Shah Bulls,1,0,0,0,0,0,0,0,0
39446446,Ishaq Mako,9726452,Shikarpur Stallions,1,0,0,0,0,0,0,0,0
39446542,Aftab,9726452,Shikarpur Stallions,1,0,0,0,0,0,0,0,0
39559869,Ather Ali,9726458,Fazilpur Falcons,1,0,0,0,0,0,0,0,0
39559870,Jawad Ahmed,9726458,Fazilpur Falcons,1,0,0,0,0,0,0,0,0
39605894,Asif Ansari,9726435,Mahmoodkot Mavericks,1,0,0,0,0,0,0,0,0
39606000,Imran Mushtaq,9726435,Mahmoodkot Mavericks,1,0,0,0,0,0,0,0,0
39606070,Tariq Jahangir,9726435,Mahmoodkot Mavericks,1,0,0,0,0,0,0,0,0
39606204,Shirjeel Agha,9726479,Port Qasim Panthers,1,0,0,0,0,0,0,0,0
39606205,M Qasim Bajwa,9726479,Port Qasim Panthers,1,0,0,0,0,0,0,0,0
39606353,Ali Hussain,9726479,Port Qasim Panthers,1,0,0,0,0,0,0,0,0
39606516,Faisal Amir,9726462,Bubak Blasters,1,0,0,0,0,0,0,0,0
39606518,M Saad Khan,9726462,Bubak Blasters,1,0,0,0,0,0,0,0,0
40343126,Major Imran,9726462,Bubak Blasters,1,0,0,0,0,0,0,0,0
39405381,M Suleman Khan,9726471,Keamari Kings,2,0,0,0,0,0,0,0,0
39405384,Nisar Ahmed,9726471,Keamari Kings,2,0,0,0,0,0,0,0,0
39406043,M Ibraheem Shaikh,9726488,Kot Bahadur Shah Bulls,2,0,0,0,0,0,0,0,0
39406191,Umair Ahmed,9726488,Kot Bahadur Shah Bulls,2,0,0,0,0,0,0,0,0
39406192,Yahya Shahid,9726488,Kot Bahadur Shah Bulls,2,0,0,0,0,0,0,0,0
39406195,Hafiz M Faisal,9726488,Kot Bahadur Shah Bulls,2,0,0,0,0,0,0,0,0
39406197,Jameel Ahmed,9726488,Kot Bahadur Shah Bulls,2,0,0,0,0,0,0,0,0
39406199,M Naveed,9726488,Kot Bahadur Shah Bulls,2,0,0,0,0,0,0,0,0
39446551,Afnan,9726452,Shikarpur Stallions,2,0,0,0,0,0,0,0,0
39559820,Abid Ali Askari,9726448,Macchike Mustangs,2,0,0,0,0,0,0,0,0
39559853,Umair Asghar,9726448,Macchike Mustangs,2,0,0,0,0,0,0,0,0
39606077,M Shoaib Qaiser Khan,9726435,Mahmoodkot Mavericks,2,0,0,0,0,0,0,0,0
39606349,Saqib Naim,9726479,Port Qasim Panthers,2,0,0,0,0,0,0,0,0
39606350,Rizwan Zafar Siddiqui,9726479,Port Qasim Panthers,2,0,0,0,0,0,0,0,0
39606358,M Bilal,9726479,Port Qasim Panthers,2,0,0,0,0,0,0,0,0
39606590,Kashan Rasheed,9726462,Bubak Blasters,2,0,0,0,0,0,0,0,0
40082161,Azhar Masud,9726435,Mahmoodkot Mavericks,2,0,0,0,0,0,0,0,0
39405382,M Majid Faraz,9726471,Keamari Kings,3,0,0,0,0,0,0,0,0
39446545,Asif,9726452,Shikarpur Stallions,3,0,0,0,0,0,0,0,0
39559895,M Furqan,9726458,Fazilpur Falcons,3,0,0,0,0,0,0,0,0
39559896,M Maroof Hussain,9726458,Fazilpur Falcons,3,0,0,0,0,0,0,0,0
39559897,Rizwan Khurram,9726458,Fazilpur Falcons,3,0,0,0,0,0,0,0,0
39559899,Shah Muhammad,9726458,Fazilpur Falcons,3,0,0,0,0,0,0,0,0
39559902,M Imran Ganatra,9726458,Fazilpur Falcons,3,0,0,0,0,0,0,0,0
39606067,Amir Qarnain,9726435,Mahmoodkot Mavericks,3,0,0,0,0,0,0,0,0
39606591,Asad Ashraf,9726462,Bubak Blasters,3,0,0,0,0,0,0,0,0
39405272,Syed Saad Naseem,9726471,Keamari Kings,4,0,0,0,0,0,0,0,0
39406198,Waqas Ahmed,9726488,Kot Bahadur Shah Bulls,4,0,0,0,0,0,0,0,0
39446548,Farrukh,9726452,Shikarpur Stallions,4,0,0,0,0,0,0,0,0
39446550,Zohaib Hassan,9726452,Shikarpur Stallions,4,0,0,0,0,0,0,0,0
39559850,Rizwan Sidhu,9726448,Macchike Mustangs,4,0,0,0,0,0,0,0,0
39559852,Adeel Bari,9726448,Macchike Mustangs,4,0,0,0,0,0,0,0,0
39559900,M Nouman,9726458,Fazilpur Falcons,4,0,0,0,0,0,0,0,0
39606351,Saad Mansoor,9726479,Port Qasim Panthers,4,0,0,0,0,0,0,0,0
39606355,Kafeel Ahmed,9726479,Port Qasim Panthers,4,0,0,0,0,0,0,0,0
39606529,Zohaib Yaqoob,9726462,Bubak Blasters,4,0,0,0,0,0,0,0,0
39446449,Asad,9726452,Shikarpur Stallions,5,0,0,0,0,0,0,0,0
39559898,M Junaid,9726458,Fazilpur Falcons,5,0,0,0,0,0,0,0,0
39606074,M Rashid Jahangir,9726435,Mahmoodkot Mavericks,5,0,0,0,0,0,0,0,0
39606214,Naeem Ahmed,9726479,Port Qasim Panthers,5,0,0,0,0,0,0,0,0
39606215,Waqas Hassan,9726479,Port Qasim Panthers,5,0,0,0,0,0,0,0,0
39606220,M Ahsan Marfani,9726479,Port Qasim Panthers,5,0,0,0,0,0,0,0,0
39606352,Sabir Hussain,9726479,Port Qasim Panthers,5,0,0,0,0,0,0,0,0
39606543,Ali Saleem Kolsawala,9726462,Bubak Blasters,5,0,0,0,0,0,0,0,0
39406190,Umair Ahmed Siddiqui,9726488,Kot Bahadur Shah Bulls,6,0,0,0,0,0,0,0,0
39446455,Nasir,9726452,Shikarpur Stallions,6,0,0,0,0,0,0,0,0
39446540,Shahab,9726452,Shikarpur Stallions,6,0,0,0,0,0,0,0,0
39559901,Tahir Mehmood,9726458,Fazilpur Falcons,6,0,0,0,0,0,0,0,0
36970209,Muhammad Khursheed,9726471,Keamari Kings,7,0,0,0,0,0,0,0,0
39405097,Syed Musa Raza Zaidi,9726471,Keamari Kings,7,0,0,0,0,0,0,0,0
39405901,Haseeb Usman,9726488,Kot Bahadur Shah Bulls,7,0,0,0,0,0,0,0,0
39406194,Shoaib Rizvi,9726488,Kot Bahadur Shah Bulls,7,0,0,0,0,0,0,0,0
39559879,Shayan Baig,9726458,Fazilpur Falcons,7,0,0,0,0,0,0,0,0
39606072,Malik M Farooq,9726435,Mahmoodkot Mavericks,7,0,0,0,0,0,0,0,0
24488628,Mehab,9726471,Keamari Kings,8,0,0,0,0,0,0,0,0
39559846,Hameed Alam Khan,9726448,Macchike Mustangs,8,0,0,0,0,0,0,0,0
39606010,M Sajid,9726435,Mahmoodkot Mavericks,8,0,0,0,0,0,0,0,0
39606076,M Furqan,9726435,Mahmoodkot Mavericks,9,0,0,0,0,0,0,0,0
39559845,M Imran Khan,9726448,Macchike Mustangs,10,0,0,0,0,0,0,0,0
39559849,Aurangzaib Muzammil Khan,9726448,Macchike Mustangs,10,0,0,0,0,0,0,0,0
39559851,Hassan Ahmed,9726448,Macchike Mustangs,10,0,0,0,0,0,0,0,0
