player_id,name,team_id,team_name,total_match,innings,total_runs,highest_run,average,not_out,strike_rate,ball_faced,batting_hand,4s,6s,50s,100s
39606010,M Sajid,9726435,Mahmoodkot Mavericks,8,3,27,14,13.50,1,122.73,22,RHB,1,2,0,0
39559873,Ghavir Imran,9726458,Fazilpur Falcons,5,2,26,15,26.00,1,136.84,19,RHB,1,1,0,0
39606352,Sabir Hussain,9726479,Port Qasim Panthers,5,3,22,20,11.00,1,122.22,18,LHB,0,2,0,0
39606006,Syed Naseem Hussain,9726435,Mahmoodkot Mavericks,9,5,22,21,11.00,3,137.50,16,RHB,1,2,0,0
39606012,Haroon Qazi,9726435,Mahmoodkot Mavericks,9,3,21,10,10.50,1,110.53,19,RHB,1,0,0,0
39446540,Shahab,9726452,Shikarpur Stallions,6,5,19,10,6.33,2,86.36,22,RHB,1,1,0,0
39606208,Tabish Rehman,9726479,Port Qasim Panthers,7,7,19,7,2.71,0,76.00,25,RHB,2,0,0,0
39606211,Fahim Motiwala,9726479,Port Qasim Panthers,7,2,18,9,-,2,120.00,15,RHB,1,0,0,0
39406194,Shoaib Rizvi,9726488,Kot Bahadur Shah Bulls,7,2,17,15,-,2,121.43,14,RHB,0,0,0,0
39635972,Sheraz Khan,9726452,Shikarpur Stallions,6,3,17,10,8.50,1,154.55,11,RHB,2,1,0,0
39606532,Shahzaman,9726462,Bubak Blasters,6,2,15,10,-,2,166.67,9,RHB,1,1,0,0
39559878,Munir Jawed,9726458,Fazilpur Falcons,6,5,15,9,5.00,2,60.00,25,RHB,0,1,0,0
24488627,Ammar,9726471,Keamari Kings,6,3,14,10,7.00,1,100.00,14,RHB,0,1,0,0
39559851,Hassan Ahmed,9726448,Macchike Mustangs,10,4,14,6,7.00,2,116.67,12,RHB,1,1,0,0
39606351,Saad Mansoor,9726479,Port Qasim Panthers,4,3,13,10,13.00,2,76.47,17,RHB,0,1,0,0
39606529,Zohaib Yaqoob,9726462,Bubak Blasters,4,2,11,10,11.00,1,73.33,15,RHB,0,0,0,0
39559828,Umer Farooq,9726448,Macchike Mustangs,7,3,11,8,3.67,0,78.57,14,RHB,0,1,0,0
39406191,Umair Ahmed,9726488,Kot Bahadur Shah Bulls,2,1,10,10,-,1,250.00,4,RHB,0,1,0,0
39559831,M Asghar,9726448,Macchike Mustangs,10,2,10,7,10.00,1,90.91,11,RHB,1,0,0,0
39606543,Ali Saleem Kolsawala,9726462,Bubak Blasters,5,1,8,8,8.00,0,80.00,10,RHB,0,0,0,0
39559850,Rizwan Sidhu,9726448,Macchike Mustangs,4,2,8,8,-,2,114.29,7,RHB,0,1,0,0
39406039,Muzammil Kholia,9726488,Kot Bahadur Shah Bulls,5,3,7,5,7.00,2,116.67,6,RHB,0,0,0,0
39606214,Naeem Ahmed,9726479,Port Qasim Panthers,5,5,7,3,3.50,3,58.33,12,RHB,0,0,0,0
39606592,M Qasim 500i,9726462,Bubak Blasters,2,1,6,6,-,1,100.00,6,RHB,0,0,0,0
39606072,Malik M Farooq,9726435,Mahmoodkot Mavericks,7,1,6,6,-,1,66.67,9,RHB,0,0,0,0
39606534,M Hassan,9726462,Bubak Blasters,6,3,6,3,3.00,1,75.00,8,RHB,0,0,0,0
39606349,Saqib Naim,9726479,Port Qasim Panthers,2,2,5,3,5.00,1,50.00,10,RHB,0,0,0,0
39606013,M Habibullah,9726435,Mahmoodkot Mavericks,6,2,5,4,2.50,0,83.33,6,RHB,0,0,0,0
39559826,Hafiz Mohsin Zahid,9726448,Macchike Mustangs,10,1,4,4,4.00,0,100.00,4,RHB,0,0,0,0
39606076,M Furqan,9726435,Mahmoodkot Mavericks,9,3,4,2,2.00,1,50.00,8,RHB,0,0,0,0
39406034,Abdul Qadir,9726488,Kot Bahadur Shah Bulls,1,1,2,2,-,1,100.00,2,RHB,0,0,0,0
39406199,M Naveed,9726488,Kot Bahadur Shah Bulls,2,1,2,2,2.00,0,100.00,2,RHB,0,0,0,0
39606542,Shakeel Ahmed,9726462,Bubak Blasters,2,1,2,2,-,1,100.00,2,RHB,0,0,0,0
39579387,M Haseeb,9726471,Keamari Kings,9,1,2,2,-,1,100.00,2,RHB,0,0,0,0
39559845,M Imran Khan,9726448,Macchike Mustangs,10,1,2,2,-,1,100.00,2,RHB,0,0,0,0
39405384,Nisar Ahmed,9726471,Keamari Kings,2,1,1,1,1.00,0,50.00,2,RHB,0,0,0,0
39559820,Abid Ali Askari,9726448,Macchike Mustangs,2,1,1,1,1.00,0,33.33,3,RHB,0,0,0,0
39559895,M Furqan,9726458,Fazilpur Falcons,3,1,1,1,-,1,50.00,2,RHB,0,0,0,0
39559896,M Maroof Hussain,9726458,Fazilpur Falcons,3,1,1,1,-,1,50.00,2,RHB,0,0,0,0
39606541,M Moiz Khan,9726462,Bubak Blasters,3,1,1,1,-,1,14.29,7,RHB,0,0,0,0
39606536,Rayed Abdullah,9726462,Bubak Blasters,6,1,1,1,1.00,0,33.33,3,RHB,0,0,0,0
39559901,Tahir Mehmood,9726458,Fazilpur Falcons,6,1,1,1,-,1,50.00,2,RHB,0,0,0,0
39446545,Asif,9726452,Shikarpur Stallions,3,2,1,1,0.50,0,16.67,6,RHB,0,0,0,0
36779682,Talha Altaf,9726488,Kot Bahadur Shah Bulls,7,2,1,1,1.00,1,16.67,6,RHB,0,0,0,0
39446446,Ishaq Mako,9726452,Shikarpur Stallions,1,1,0,0,-,1,0.00,4,RHB,0,0,0,0
39446546,Sheraz,9726452,Shikarpur Stallions,1,1,0,0,-,0,0.00,2,RHB,0,0,0,0
39405381,M Suleman Khan,9726471,Keamari Kings,2,1,0,0,-,0,0,0,RHB,0,0,0,0
39405382,M Majid Faraz,9726471,Keamari Kings,3,1,0,0,-,1,0,0,RHB,0,0,0,0
39446550,Zohaib Hassan,9726452,Shikarpur Stallions,4,1,0,0,-,1,0.00,2,RHB,0,0,0,0
