player_id,name,team_id,team_name,total_match,innings,total_wickets,balls,highest_wicket,economy,SR,maidens,avg,runs,bowling_style,overs,dot_balls
39606208,Tabish Rehman,9726479,Port Qasim Panthers,7,4,2,42,1,15.86,21.00,0,55.5,111,Right-arm fast,7.0,9
39606543,Ali Saleem Kolsawala,9726462,Bubak Blasters,5,4,2,36,1,16.83,18.00,0,50.5,101,Right-arm Off Break,6.0,8
39606076,M Furqan,9726435,Mahmoodkot Mavericks,9,7,2,78,1,17.38,39.00,0,113,226,Right-arm fast,13.0,22
39405098,Irfan Shaikh,9726471,Keamari Kings,6,2,1,12,1,6.50,12.00,0,13,13,Right-arm fast,2.0,8
39559830,Irteza Ali Qureshi,9726448,Macchike Mustangs,6,2,1,12,1,9.00,12.00,0,18,18,Right-arm fast,2.0,4
39606532,Shahzaman,9726462,Bubak Blasters,6,6,1,54,1,10.67,54.00,0,96,96,Right-arm fast,9.0,19
16094345,Kumail,9726452,Shikarpur Stallions,7,5,1,60,1,11.30,60.00,0,113,113,Right-arm fast,10.0,22
39446540,Shahab,9726452,Shikarpur Stallions,6,2,1,12,1,13.50,12.00,0,27,27,Right-arm fast,2.0,3
10643363,Arman Bari,9726452,Shikarpur Stallions,7,6,1,47,1,15.96,47.00,0,125,125,Right-arm medium,7.5,14
39606210,Asad Mughal,9726479,Port Qasim Panthers,7,4,1,30,1,16.80,30.00,0,84,84,Right-arm fast,5.0,9
39606206,M Idrees,9726479,Port Qasim Panthers,6,4,1,22,1,17.73,22.00,0,65,65,Right-arm Off Break,3.4,3
39606220,M Ahsan Marfani,9726479,Port Qasim Panthers,5,2,1,12,1,18.50,12.00,0,37,37,Right-arm fast,2.0,3
39606004,Hafiz Umer Bin Mohsin,9726435,Mahmoodkot Mavericks,9,4,1,24,1,18.50,24.00,0,74,74,Left-arm fast,4.0,7
39406190,Umair Ahmed Siddiqui,9726488,Kot Bahadur Shah Bulls,6,3,1,24,1,18.75,24.00,0,75,75,Right-arm fast,4.0,4
36506476,Shabbir Iqbal,9726471,Keamari Kings,9,1,0,0,0,0.00,0.00,0,0,0,Right-arm fast,0.0,0
39606520,Syed Abeer Kazmi,9726462,Bubak Blasters,7,1,0,6,0,8.00,0.00,0,0,8,Right-arm fast,1.0,0
39559852,Adeel Bari,9726448,Macchike Mustangs,4,1,0,6,0,9.00,0.00,0,0,9,Right-arm fast,1.0,2
39405384,Nisar Ahmed,9726471,Keamari Kings,2,1,0,6,0,11.00,0.00,0,0,11,Right-arm Off Break,1.0,1
39606211,Fahim Motiwala,9726479,Port Qasim Panthers,7,1,0,6,0,13.00,0.00,0,0,13,Right-arm Off Break,1.0,2
39405272,Syed Saad Naseem,9726471,Keamari Kings,4,2,0,12,0,13.50,0.00,0,0,27,Right-arm Off Break,2.0,2
39606534,M Hassan,9726462,Bubak Blasters,6,1,0,6,0,14.00,0.00,0,0,14,Right-arm medium,1.0,3
39406197,Jameel Ahmed,9726488,Kot Bahadur Shah Bulls,2,2,0,12,0,14.50,0.00,0,0,29,Right-arm fast,2.0,2
39606355,Kafeel Ahmed,9726479,Port Qasim Panthers,4,3,0,13,0,15.23,0.00,0,0,33,Right-arm fast,2.1,2
39446548,Farrukh,9726452,Shikarpur Stallions,4,2,0,12,0,17.00,0.00,0,0,34,Right-arm fast,2.0,1
39606217,M Huzaif,9726479,Port Qasim Panthers,7,5,0,36,0,17.00,0.00,0,0,102,Right-arm fast,6.0,6
39606067,Amir Qarnain,9726435,Mahmoodkot Mavericks,3,2,0,12,0,18.50,0.00,0,0,37,Right-arm fast,2.0,1
39559871,Junaid Iqbal,9726458,Fazilpur Falcons,8,1,0,6,0,19.00,0.00,0,0,19,Right-arm fast,1.0,1
32487566,Mehmood Shah,9726435,Mahmoodkot Mavericks,9,1,0,6,0,22.00,0.00,0,0,22,Right-arm medium,1.0,0
39559897,Rizwan Khurram,9726458,Fazilpur Falcons,3,1,0,6,0,24.00,0.00,0,0,24,Right-arm fast,1.0,2
39559822,Irttaza Hussain,9726448,Macchike Mustangs,10,2,0,7,0,26.57,0.00,0,0,31,Right-arm fast,1.1,2
39606072,Malik M Farooq,9726435,Mahmoodkot Mavericks,7,1,0,1,0,42.00,0.00,0,0,7,Right-arm fast,0.1,0
21802280,Asif Hamid,9726488,Kot Bahadur Shah Bulls,6,0,,,,0.00,0.00,0,0,0,Right-arm medium,0.0,0
24488628,Mehab,9726471,Keamari Kings,8,0,,,,0.00,0.00,0,0,0,Right-arm fast,0.0,0
33997964,Salman Saeed,9726488,Kot Bahadur Shah Bulls,6,0,,,,0.00,0.00,0,0,0,-,0.0,0
39404794,Zafar Iqbal,9726471,Keamari Kings,1,0,,,,0.00,0.00,0,0,0,-,0.0,0
39405097,Syed Musa Raza Zaidi,9726471,Keamari Kings,7,0,,,,0.00,0.00,0,0,0,-,0.0,0
39405381,M Suleman Khan,9726471,Keamari Kings,2,0,,,,0.00,0.00,0,0,0,-,0.0,0
39405382,M Majid Faraz,9726471,Keamari Kings,3,0,,,,0.00,0.00,0,0,0,-,0.0,0
39405383,Syed Hammad Ahmed,9726471,Keamari Kings,1,0,,,,0.00,0.00,0,0,0,-,0.0,0
39405901,Haseeb Usman,9726488,Kot Bahadur Shah Bulls,7,0,,,,0.00,0.00,0,0,0,-,0.0,0
39406034,Abdul Qadir,9726488,Kot Bahadur Shah Bulls,1,0,,,,0.00,0.00,0,0,0,-,0.0,0
39406043,M Ibraheem Shaikh,9726488,Kot Bahadur Shah Bulls,2,0,,,,0.00,0.00,0,0,0,Right-arm medium,0.0,0
39406191,Umair Ahmed,9726488,Kot Bahadur Shah Bulls,2,0,,,,0.00,0.00,0,0,0,-,0.0,0
39406192,Yahya Shahid,9726488,Kot Bahadur Shah Bulls,2,0,,,,0.00,0.00,0,0,0,-,0.0,0
39406195,Hafiz M Faisal,9726488,Kot Bahadur Shah Bulls,2,0,,,,0.00,0.00,0,0,0,-,0.0,0
39406198,Waqas Ahmed,9726488,Kot Bahadur Shah Bulls,4,0,,,,0.00,0.00,0,0,0,-,0.0,0
39406199,M Naveed,9726488,Kot Bahadur Shah Bulls,2,0,,,,0.00,0.00,0,0,0,-,0.0,0
39446446,Ishaq Mako,9726452,Shikarpur Stallions,1,0,,,,0.00,0.00,0,0,0,-,0.0,0
39446449,Asad,9726452,Shikarpur Stallions,5,0,,,,0.00,0.00,0,0,0,Right-arm medium,0.0,0
39446452,Usman,9726452,Shikarpur Stallions,5,0,,,,0.00,0.00,0,0,0,-,0.0,0
39446542,Aftab,9726452,Shikarpur Stallions,1,0,,,,0.00,0.00,0,0,0,-,0.0,0
39446545,Asif,9726452,Shikarpur Stallions,3,0,,,,0.00,0.00,0,0,0,-,0.0,0
39446546,Sheraz,9726452,Shikarpur Stallions,1,0,,,,0.00,0.00,0,0,0,-,0.0,0
39446547,Jawwad,9726452,Shikarpur Stallions,7,0,,,,0.00,0.00,0,0,0,-,0.0,0
39446550,Zohaib Hassan,9726452,Shikarpur Stallions,4,0,,,,0.00,0.00,0,0,0,-,0.0,0
39446551,Afnan,9726452,Shikarpur Stallions,2,0,,,,0.00,0.00,0,0,0,-,0.0,0
39559820,Abid Ali Askari,9726448,Macchike Mustangs,2,0,,,,0.00,0.00,0,0,0,-,0.0,0
39559829,M Fakhir Sohail,9726448,Macchike Mustangs,10,0,,,,0.00,0.00,0,0,0,-,0.0,0
39559846,Hameed Alam Khan,9726448,Macchike Mustangs,8,0,,,,0.00,0.00,0,0,0,Right-arm fast,0.0,0
39559849,Aurangzaib Muzammil Khan,9726448,Macchike Mustangs,10,0,,,,0.00,0.00,0,0,0,-,0.0,0
39559850,Rizwan Sidhu,9726448,Macchike Mustangs,4,0,,,,0.00,0.00,0,0,0,-,0.0,0
39559853,Umair Asghar,9726448,Macchike Mustangs,2,0,,,,0.00,0.00,0,0,0,-,0.0,0
39559869,Ather Ali,9726458,Fazilpur Falcons,1,0,,,,0.00,0.00,0,0,0,-,0.0,0
39559870,Jawad Ahmed,9726458,Fazilpur Falcons,1,0,,,,0.00,0.00,0,0,0,-,0.0,0
39559876,Zeeshan Tahir,9726458,Fazilpur Falcons,8,0,,,,0.00,0.00,0,0,0,-,0.0,0
39559878,Munir Jawed,9726458,Fazilpur Falcons,6,0,,,,0.00,0.00,0,0,0,-,0.0,0
39559895,M Furqan,9726458,Fazilpur Falcons,3,0,,,,0.00,0.00,0,0,0,-,0.0,0
39559896,M Maroof Hussain,9726458,Fazilpur Falcons,3,0,,,,0.00,0.00,0,0,0,-,0.0,0
39559898,M Junaid,9726458,Fazilpur Falcons,5,0,,,,0.00,0.00,0,0,0,-,0.0,0
39559899,Shah Muhammad,9726458,Fazilpur Falcons,3,0,,,,0.00,0.00,0,0,0,-,0.0,0
39559900,M Nouman,9726458,Fazilpur Falcons,4,0,,,,0.00,0.00,0,0,0,-,0.0,0
39559902,M Imran Ganatra,9726458,Fazilpur Falcons,3,0,,,,0.00,0.00,0,0,0,-,0.0,0
39575879,Humays Khan,9726471,Keamari Kings,8,0,,,,0.00,0.00,0,0,0,-,0.0,0
39605894,Asif Ansari,9726435,Mahmoodkot Mavericks,1,0,,,,0.00,0.00,0,0,0,-,0.0,0
39606000,Imran Mushtaq,9726435,Mahmoodkot Mavericks,1,0,,,,0.00,0.00,0,0,0,-,0.0,0
39606010,M Sajid,9726435,Mahmoodkot Mavericks,8,0,,,,0.00,0.00,0,0,0,-,0.0,0
