Player Name,Team Name,Player Role,Bowling Style,Batting Hand,Matches,Batting,Bowling,Fielding,Total
Irfan Shaikh,Keamari Kings,,Right-arm fast,RHB,6,2.800,1.450,1.064,5.314
Sabir Hussain,Port Qasim Panthers,,Left-arm fast,LHB,4,2.200,2.760,0.000,4.960
Rayed Abdullah ,Bubak Blasters,,Right-arm fast,RHB,5,0.100,4.570,0.224,4.894
Waqas Ahmed,Kot Bahadur Shah Bulls,,,RHB,4,4.800,0.000,0.000,4.800
Jawwad Shafiq,Shikarpur Stallions,,,RHB,5,4.400,0.000,0.280,4.680
M Ahsan Marfani,Port Qasim Panthers,,Right-arm fast,RHB,4,3.040,1.426,0.000,4.466
Talha Altaf,Kot Bahadur Shah Bulls,,Right-arm fast,RHB,7,0.100,2.865,1.400,4.365
Shahzaman,Bubak Blasters,,Right-arm fast,RHB,6,1.507,1.627,0.980,4.114
Shakeel Ahmed,Bubak Blasters,,Right-arm fast,RHB,1,0.200,2.601,1.120,3.921
Muhammad Khursheed,Keamari Kings,,Right-arm fast,RHB,6,0.000,3.872,0.000,3.872
Fahim Motiwala,Port Qasim Panthers,,Right-arm Off Break,RHB,4,1.800,0.109,1.960,3.869
Hameed Alam Khan.,Macchike Mustangs,,Right-arm fast,RHB,6,3.710,0.000,0.000,3.710
Ali Saleem Kolsawala,Bubak Blasters,,Right-arm Off Break,RHB,4,0.800,2.750,0.000,3.550
Saiyed Shahab Ahmed,Shikarpur Stallions,,Right-arm fast,RHB,3,1.900,1.437,0.000,3.337
Mehab,Keamari Kings,,Right-arm fast,RHB,3,3.100,0.000,0.000,3.100
M Furqan,Mahmoodkot Mavericks,,Right-arm fast,RHB,8,0.400,2.522,0.000,2.922
Syed Musa Raza Zaidi,Keamari Kings,,,RHB,3,2.800,0.000,0.000,2.800
M Sajid,Mahmoodkot Mavericks,,,RHB,3,2.705,0.000,-0.380,2.325
Sheraz Khan,Shikarpur Stallions,,,RHB,4,1.760,0.000,0.560,2.320
Tahir Mehmood.,Fazilpur Falcons,,Right-arm fast,RHB,4,0.100,2.203,0.000,2.303
Munir Jawed.,Fazilpur Falcons,,,RHB,4,1.500,0.000,0.448,1.948
M Habibullah,Mahmoodkot Mavericks,,,RHB,3,0.500,0.000,0.980,1.480
Saad Mansoor,Port Qasim Panthers,,,RHB,3,1.300,0.000,0.000,1.300
M Hassan,Bubak Blasters,,Right-arm medium,RHB,3,0.600,-0.063,0.504,1.041
Umair Ahmed,Kot Bahadur Shah Bulls,,,RHB,1,1.016,0.000,0.000,1.016
Umair Ahmed Siddiqui ,Kot Bahadur Shah Bulls,,Right-arm fast,RHB,3,0.000,0.921,0.000,0.921
M Qasim 500I,Bubak Blasters,,,RHB,2,0.600,0.000,0.280,0.880
Rizwan Sidhu.,Macchike Mustangs,,,RHB,1,0.800,0.000,0.000,0.800
Malik M Farooq,Mahmoodkot Mavericks,,Right-arm fast,RHB,2,0.600,-0.025,0.000,0.575
Saqib Naim,Port Qasim Panthers,,,RHB,2,0.500,0.000,0.000,0.500
Shakir Shabbir,Bubak Blasters,,,,1,0.000,0.000,0.430,0.430
M Moiz Khan,Bubak Blasters,,,RHB,1,0.100,0.000,0.280,0.380
M Majid Faraz,Keamari Kings,,,RHB,1,0.000,0.000,0.280,0.280
Sheraz,Shikarpur Stallions,,,RHB,1,0.000,0.000,0.280,0.280
Asad Ashraf,Bubak Blasters,,,,1,0.000,0.000,0.280,0.280
Shayan Amin Ahmed,Bubak Blasters,,,RHB,1,0.000,0.000,0.224,0.224
Abdul Qadir,Kot Bahadur Shah Bulls,,,RHB,1,0.200,0.000,0.000,0.200
M Naveed,Kot Bahadur Shah Bulls,,,RHB,1,0.200,0.000,0.000,0.200
Nisar Ahmed,Keamari Kings,,Right-arm Off Break,RHB,2,0.100,0.081,0.000,0.181
M Asif Mureed,Shikarpur Stallions,,,RHB,1,0.100,0.000,0.000,0.100
Abid Ali Askari.,Macchike Mustangs,,,RHB,1,0.100,0.000,0.000,0.100
M Furqan.,Fazilpur Falcons,,,RHB,1,0.100,0.000,0.000,0.100
M Maroof Hussain.,Fazilpur Falcons,,,RHB,1,0.100,0.000,0.000,0.100
Syed Saad Naseem,Keamari Kings,,Right-arm Off Break,,2,0.000,0.041,0.000,0.041
Farrukh Anwar,Shikarpur Stallions,,Right-arm fast,,2,0.000,0.035,0.000,0.035
Jameel Ahmed,Kot Bahadur Shah Bulls,,Right-arm fast,,2,0.000,0.019,0.000,0.019
Kafeel Ahmed,Port Qasim Panthers,,Right-arm fast,RHB,3,0.000,-0.023,0.000,-0.023
Rizwan Khurram.,Fazilpur Falcons,,Right-arm fast,,1,0.000,-0.045,0.000,-0.045
Adeel Bari.,Macchike Mustangs,,Right-arm fast,RHB,1,0.000,-0.066,0.000,-0.066
Amir Qarnain,Mahmoodkot Mavericks,,Right-arm fast,,2,0.000,-0.110,0.000,-0.110
