Player Name,Team Name,Player Role,Bowling Style,Batting Hand,Matches,Batting,Bowling,Fielding,Total
Danish Ahmed,Mahmoodkot Mavericks,,Right-arm fast,RHB,9,72.136,7.204,3.164,82.504
Irttaza Hussain.,Macchike Mustangs,,Right-arm fast,RHB,10,61.549,-0.082,1.820,63.287
Umar Nisar,Keamari Kings,All-Rounder,Right-arm fast,LHB,9,40.438,11.964,2.128,54.530
Mazhar Iqbal,Keamari Kings,,Right-arm fast,RHB,9,28.909,10.151,2.324,41.384
Waseem Ullah Khan,Kot Bahadur Shah Bulls,,Right-arm fast,RHB,7,25.926,12.385,0.560,38.871
Kamran Abdali,Bubak Blasters,,Right-arm fast,RHB,7,14.800,9.219,6.748,30.767
Syed Abeer Kazmi,Bubak Blasters,,Right-arm fast,RHB,7,26.369,0.097,3.080,29.546
M Areeb.,Macchike Mustangs,,Right-arm medium,RHB,8,10.460,10.505,7.420,28.385
Junaid Iqbal.,Fazilpur Falcons,,Right-arm fast,RHB,8,23.155,-0.064,1.960,25.051
M Zubair.,Fazilpur Falcons,,Right-arm fast,RHB,8,9.772,14.986,0.280,25.038
Asad Mughni,Port Qasim Panthers,,Right-arm fast,RHB,7,17.617,1.318,2.744,21.679
Syed Junaid Ali.,Fazilpur Falcons,,Right-arm fast,RHB,8,7.309,11.079,3.052,21.440
Sheikh Khalid Zahid,Bubak Blasters,,Right-arm fast,RHB,7,9.021,6.652,4.284,19.957
Syed Ather Waqar,Keamari Kings,,Right-arm Off Break,RHB,8,0.000,16.011,3.864,19.875
M Aamir Khan.,Macchike Mustangs,,Right-arm fast,RHB,9,15.952,1.966,1.680,19.598
M Kaleemullah,Mahmoodkot Mavericks,,Right-arm fast,RHB,8,13.783,2.996,0.614,17.393
M Hammad Khalil.,Fazilpur Falcons,,Right-arm fast,RHB,7,9.325,6.921,0.280,16.526
Arman Bari,Shikarpur Stallions,,Right-arm medium,LHB,7,12.629,1.369,2.464,16.462
Mehmood Shah,Mahmoodkot Mavericks,Top-order batter,Right-arm medium,RHB,9,11.200,-0.057,5.078,16.221
M Idrees,Port Qasim Panthers,,Right-arm Off Break,RHB,6,13.796,1.373,0.840,16.009
Haroon Qazi,Mahmoodkot Mavericks,,Right-arm fast,RHB,9,2.100,13.212,0.280,15.592
Shabbir Iqbal,Keamari Kings,,Right-arm fast,RHB,9,9.600,0.000,5.768,15.368
M Anwar.,Fazilpur Falcons,,Right-arm fast,RHB,8,3.000,9.843,2.520,15.363
Munawar Ali,Shikarpur Stallions,,Right-arm fast,RHB,6,10.522,4.142,0.560,15.224
Haseeb Usman,Kot Bahadur Shah Bulls,,,RHB,6,13.837,0.000,0.000,13.837
Zeeshan Tahir.,Fazilpur Falcons,,,RHB,8,11.967,0.000,1.512,13.479
Khalil Bugti,Port Qasim Panthers,,Right-arm fast,RHB,6,8.700,4.093,0.560,13.353
Fazil Hussain,Kot Bahadur Shah Bulls,,Right-arm fast,RHB,7,3.338,9.284,0.728,13.350
Kumail,Shikarpur Stallions,,Right-arm fast,RHB,7,10.232,1.690,1.400,13.322
M Imran Khan.,Macchike Mustangs,,Right-arm fast,RHB,9,0.200,12.777,0.000,12.977
Muhammad Hammad,Keamari Kings,,Right-arm fast,RHB,8,3.405,7.667,1.204,12.276
M Asghar.,Macchike Mustangs,,Right-arm fast,RHB,10,1.000,9.269,1.820,12.089
Syed Naeem Hussain,Mahmoodkot Mavericks,,Right-arm fast,RHB,9,2.200,7.896,1.960,12.056
Ahsan,Shikarpur Stallions,,Right-arm fast,RHB,7,0.000,11.672,0.295,11.967
Hafiz Umer Bin Mohsin,Mahmoodkot Mavericks,,Left-arm fast,RHB,8,9.900,1.472,0.560,11.932
Asad Ahmed,Shikarpur Stallions,,Right-arm medium,RHB,4,11.907,0.000,0.000,11.907
Waqas Hassan,Port Qasim Panthers,,,RHB,5,11.460,0.000,0.000,11.460
Shabbir Sultan,Kot Bahadur Shah Bulls,,Right-arm fast,RHB,7,7.048,2.559,1.792,11.399
Umer,Shikarpur Stallions,,Right-arm medium,RHB,6,9.946,2.909,-1.990,10.865
Ghavir Imran.,Fazilpur Falcons,,Right-arm fast,RHB,5,2.610,5.266,2.978,10.854
Muneeb Ul Hassan,Bubak Blasters,,Right-arm Off Break,RHB,5,9.357,0.000,1.204,10.561
M Fakhir Sohail.,Macchike Mustangs,,,RHB,9,8.040,0.000,2.380,10.420
Asif Hamid,Kot Bahadur Shah Bulls,,Right-arm medium,RHB,7,9.453,0.000,0.878,10.331
Ammar,Keamari Kings,,Right-arm medium,RHB,6,1.400,6.183,2.240,9.823
Hassan Ahmed.,Macchike Mustangs,,Right-arm fast,RHB,10,1.449,8.124,0.000,9.573
Muzammil Kholia,Kot Bahadur Shah Bulls,,Right-arm fast,RHB,5,0.700,7.857,0.560,9.117
Saeed Iqbal ,Port Qasim Panthers,,Right-arm fast,RHB,7,0.000,7.591,1.400,8.991
M Masood Tahir,Bubak Blasters,,Right-arm Off Break,RHB,7,3.500,3.691,1.400,8.591
Shoaib Rizvi,Kot Bahadur Shah Bulls,,Right-arm fast,RHB,7,1.700,6.661,0.000,8.361
Shayan Baig.,Fazilpur Falcons,,Right-arm fast,RHB,6,4.417,3.739,0.000,8.156
Irteza Ali Qureshi.,Macchike Mustangs,,Right-arm fast,RHB,5,5.500,1.134,1.344,7.978
Hafiz Mohsin Zahid.,Macchike Mustangs,,Right-arm fast,RHB,10,0.400,7.116,0.448,7.964
M Huzaif,Port Qasim Panthers,,Right-arm fast,RHB,7,6.718,-0.186,1.400,7.932
Naeem Ahmed,Port Qasim Panthers,,Right-arm fast,RHB,5,0.700,7.210,0.000,7.910
Aurangzaib Muzammil Khan.,Macchike Mustangs,,,RHB,6,7.726,0.000,0.000,7.726
M Haseeb,Keamari Kings,,Right-arm fast,RHB,7,0.200,5.907,1.512,7.619
Tabish Rehman,Port Qasim Panthers,,Right-arm fast,RHB,7,1.900,2.854,2.408,7.162
Nasir Nawaz,Shikarpur Stallions,,Right-arm fast,,6,0.000,7.118,0.000,7.118
Salman Saeed,Kot Bahadur Shah Bulls,,,RHB,6,5.737,0.000,1.064,6.801
M Usman,Shikarpur Stallions,,,RHB,5,3.931,0.000,2.520,6.451
Humays Khan,Keamari Kings,,,RHB,6,5.709,0.000,0.728,6.437
Ahmad Rafe Noman Lodhi,Mahmoodkot Mavericks,,Right-arm fast,,9,0.000,5.741,0.280,6.021
Umer Farooq.,Macchike Mustangs,,Right-arm fast,RHB,7,1.100,4.512,0.280,5.892
Zohaib Yaqoob,Bubak Blasters,,Right-arm fast,RHB,3,1.100,4.422,0.000,5.522
